,Suburbs,Country,Lat,Lng
1141,Mockinya,AU,-36.9667,142.15
1142,Modella,AU,-38.1833,145.7167
1143,Modewarre,AU,-38.25,144.1333
1144,Moe,AU,-38.1667,146.2667
1145,Moe South,N/A,N/A,N/A
1146,Molesworth,AU,-37.1667,145.5333
1147,Moliagul,AU,-36.75,143.6667
1148,Mollongghip,AU,-37.4833,144.0333
1149,Monbulk,AU,-37.8833,145.4
1150,Monegeetta,AU,-37.413,144.7474
1151,Monomeith,AU,-38.2167,145.5167
1152,Mont Albert,AU,-37.8175,145.1076
1153,Mont Albert North,AU,-37.8004,145.1083
1154,Montgomery,AU,-38.0333,147.0667
1155,Montmorency,AU,-37.7167,145.1167
1156,Montrose,AU,-37.8167,145.35
1157,Moolap,AU,-38.1833,144.4333
1158,Moolerr,N/A,N/A,N/A
